Fecha;Últ precio;Volumen;;;;;;
31/01/2020;107,8;3606920;;;;;;
30/01/2020;109,07;2389260;;;;;;
29/01/2020;110,01;1854209;;;;;;
28/01/2020;107,86;2062402;;;;;;
27/01/2020;104,94;4149728;;;;;;
24/01/2020;108,49;2105331;;;;;;
23/01/2020;110,96;1607108;;;;;;
22/01/2020;110,85;1716565;;;;;;
21/01/2020;110,62;4031818;;;;;;
17/01/2020;113,92;2512589;;;;;;
16/01/2020;111,6;1217149;;;;;;
15/01/2020;109,63;1316079;;;;;;
14/01/2020;109,09;1233160;;;;;;
13/01/2020;109,29;1573927;;;;;;
10/01/2020;108,6;1296291;;;;;;
9/01/2020;109,09;1596198;;;;;;
8/01/2020;109,21;2741604;;;;;;
7/01/2020;108,29;1498941;;;;;;
6/01/2020;109,42;1822112;;;;;;
3/01/2020;109,99;1854486;;;;;;
2/01/2020;111,45;2014639;;;;;;
31/12/2019;110,91;1327848;;;;;;
30/12/2019;111,37;953173;;;;;;
27/12/2019;112,39;890163;;;;;;
26/12/2019;111,94;1268259;;;;;;
24/12/2019;111,37;436657;;;;;;
23/12/2019;111,28;1495847;;;;;;
20/12/2019;111,42;3344047;;;;;;
19/12/2019;110,34;1935723;;;;;;
18/12/2019;109,25;2524254;;;;;;
17/12/2019;108,8;2109033;;;;;;
16/12/2019;108,48;2516708;;;;;;
13/12/2019;107,2;1286630;;;;;;
12/12/2019;106,52;1421762;;;;;;
11/12/2019;105,7;1453677;;;;;;
10/12/2019;104,7;1329056;;;;;;
9/12/2019;104,75;1436288;;;;;;
6/12/2019;105,47;1041069;;;;;;
5/12/2019;104,91;1096805;;;;;;
4/12/2019;104,18;1114191;;;;;;
3/12/2019;103,95;1486970;;;;;;
2/12/2019;104,75;1988138;;;;;;
29/11/2019;105;764587;;;;;;
27/11/2019;106,37;1656765;;;;;;
26/11/2019;105,32;1972100;;;;;;
25/11/2019;103,09;1821955;;;;;;
22/11/2019;101,22;2161625;;;;;;
21/11/2019;99,08;965371;;;;;;
20/11/2019;99,26;986511;;;;;;
19/11/2019;100,21;839656;;;;;;
18/11/2019;100,17;1617609;;;;;;
15/11/2019;99,69;2095950;;;;;;
14/11/2019;98,85;973568;;;;;;
13/11/2019;97,76;2314974;;;;;;
12/11/2019;98,09;856563;;;;;;
11/11/2019;98,13;876878;;;;;;
8/11/2019;99,09;941200;;;;;;
7/11/2019;98,93;1309069;;;;;;
6/11/2019;99,57;1143849;;;;;;
5/11/2019;100,15;1721859;;;;;;
4/11/2019;97,99;1335440;;;;;;
1/11/2019;96,31;1722447;;;;;;
31/10/2019;96,96;1514992;;;;;;
30/10/2019;97,32;1095366;;;;;;
29/10/2019;97,31;1078556;;;;;;
28/10/2019;97,19;1267127;;;;;;
25/10/2019;97,69;1559506;;;;;;
24/10/2019;96,91;2845878;;;;;;
23/10/2019;95,77;4070021;;;;;;
22/10/2019;90,73;2224123;;;;;;
21/10/2019;92,39;1793984;;;;;;
18/10/2019;91,15;2739465;;;;;;
17/10/2019;92,2;1862406;;;;;;
16/10/2019;92,2;1165228;;;;;;
15/10/2019;91,66;1687865;;;;;;
14/10/2019;91,53;1315495;;;;;;
11/10/2019;93,43;2763002;;;;;;
10/10/2019;91,55;2128437;;;;;;
9/10/2019;91,5;1724073;;;;;;
8/10/2019;90,7;2153530;;;;;;
7/10/2019;91;2091104;;;;;;
4/10/2019;93,35;1643536;;;;;;
3/10/2019;91,99;1863460;;;;;;
2/10/2019;90,94;2086653;;;;;;
1/10/2019;92,15;2016294;;;;;;
30/09/2019;93,11;2016441;;;;;;
27/09/2019;91,45;1359874;;;;;;
26/09/2019;92,01;1662141;;;;;;
25/09/2019;92,77;1199836;;;;;;
24/09/2019;92,22;2352705;;;;;;
23/09/2019;94,25;1598026;;;;;;
20/09/2019;95,22;3108927;;;;;;
19/09/2019;95,78;1196919;;;;;;
18/09/2019;95,35;1013470;;;;;;
17/09/2019;94,86;954903;;;;;;
16/09/2019;93,66;1896081;;;;;;
13/09/2019;96,05;1567352;;;;;;
12/09/2019;94,77;1365804;;;;;;
11/09/2019;95,18;2139924;;;;;;
10/09/2019;93,58;1880163;;;;;;
9/09/2019;92,53;1375817;;;;;;
6/09/2019;93,74;1061645;;;;;;
5/09/2019;93,47;1084768;;;;;;
4/09/2019;92,3;1003829;;;;;;
3/09/2019;91,31;1530448;;;;;;
30/08/2019;92,37;1174021;;;;;;
29/08/2019;92,54;945577;;;;;;
28/08/2019;91,91;1274169;;;;;;
27/08/2019;91,13;2376929;;;;;;
26/08/2019;91,65;1336294;;;;;;
23/08/2019;91,08;2199812;;;;;;
22/08/2019;92,41;1616859;;;;;;
21/08/2019;91,62;1750322;;;;;;
20/08/2019;92,73;2397549;;;;;;
19/08/2019;93,46;1057017;;;;;;
16/08/2019;93,01;1433922;;;;;;
15/08/2019;91,61;2171348;;;;;;
14/08/2019;92,01;2561462;;;;;;
13/08/2019;95,26;2009435;;;;;;
