upc,descrip,price,q,sales,volsales,unit,descrip1,descrip2,descrip3,descrip4,descrip5,descrip6
1820092867,MICHELOB GOLDEN DRAF,.47626939,1219490.5,567465.44,432919131.8,Oz,MICHELOB,GOLDEN,DRAF,,,
1820092876,MICHELOB GOLDEN DRAF,.49780485,19433.537,9581.7197,6898906.07,Oz,MICHELOB,GOLDEN,DRAF,,,
1820096867,MICHELOB GOLDEN DRAF,.47567448,831707.44,388944,295256145.4,Oz,MICHELOB,GOLDEN,DRAF,,,
1969380011,GUINESS STOUT GIFT B,1.2587838,2111.2979,2647.3601,749510.7632,Oz,GUINESS,STOUT,GIFT,B,,
1975120103,MORETTI N.R. BTLS,1.1903957,29.990026,35.549999,10646.45996,Oz,MORETTI,N.R.,BTLS,,,
1975120104,MORETTI N.R. BTLS,1.1297166,677.7746,763.96997,240609.9951,Oz,MORETTI,N.R.,BTLS,,,
2017224253,CHERRY RAIL BEER,1.1653874,5.9980054,6.9899998,2129.291992,Oz,CHERRY,RAIL,BEER,,,
2124222010,RED HOOK DOUBLE BLAC,1.4677606,194.26874,285.14001,68965.40277,Oz,RED,HOOK,DOUBLE,BLAC,,
2124260002,BLACKHOOK PORTER N.R,1.0820264,1529.4913,1654.95,542969.458,Oz,BLACKHOOK,PORTER,N.R,,,
2124260003,BALLARD BITTER N.R.,1.0820264,1121.627,1213.63,398177.6025,Oz,BALLARD,BITTER,N.R.,,,
2124260006,RED HOOK ESB N.R.,1.1153073,13843.396,15193.899,4914405.921,Oz,RED,HOOK,ESB,N.R.,,
2124260007,WHEAT HOOK N.R.,1.1653874,905.69879,1055.49,321523.0908,Oz,WHEAT,HOOK,N.R.,,,
2124260011,WHEAT HOOK N.R.,1.1653874,1175.609,1370.0399,417341.2305,Oz,WHEAT,HOOK,N.R.,,,
2129697503,ST REGIS NON-ALCHL C,2.9968193,4584.5073,13222.18,1627500,ML,ST,REGIS,NON-ALCHL,C,,
2129697506,ST REGIS NON-ALCH WH,2.7871728,2002.817,5554.21,711000,ML,ST,REGIS,NON-ALCH,WH,,
2129697507,ST REGIS NON-ALCH CH,2.7006323,1652.1127,4461.98,586500,ML,ST,REGIS,NON-ALCH,CH,,
2129697508,ST REGIS NON-ALCHL C,2.8007619,1823.2395,5095.0703,647250,ML,ST,REGIS,NON-ALCHL,C,,
2210000047,PABST LIGHT BEER,.48516124,713.76263,345.32999,253385.7471,Oz,PABST,LIGHT,BEER,,,
2210000071,PABST BEER,.48553175,4012.6658,1946.9299,1424496.343,Oz,PABST,BEER,,,,
2210000170,PABST BEER,.47502881,1511.4973,717.84003,536581.5820000001,Oz,PABST,BEER,,,,
2210000171,PABST BLUE RIBBON,.3328335,17586.152,5852.6699,6243084.141,Oz,PABST,BLUE,RIBBON,,,
2210000230,BIG BEAR MALT LIQUOR,.42218581,3742.0889,1583.75,1328441.552,Oz,BIG,BEAR,MALT,LIQUOR,,
2210000392,OLD ENGLISH MALT LIQ,.56343734,4135.2915,2336.3401,1468028.471,Oz,OLD,ENGLISH,MALT,LIQ,,
2210000600,HAMMS BEER,.48194066,14311.241,6898.3198,5080490.693,Oz,HAMMS,BEER,,,,
2210000640,HAMMS DRAFT BEER,.48014355,2099.302,1008.84,745252.1973,Oz,HAMMS,DRAFT,BEER,,,
