"","upc","descrip","price","q","sales","volsales","unit","marca","importada","artesanal","ale","lager","Alcohol_volumen","Ano_fund","Sigue"
"120","1820061168","BUSCH BEER","0.35071188","1397967.1","478421.97","496278344.5","Oz","BUSCH  ","0","0","","","","",""
"121","1820086167","BUSCH LIGHT BEER","0.35039827","801237.56","274451.53","284439342.2","Oz","BUSCH  ","0","0","","","","",""
"122","7272001431","CARLINGS BLK LABEL R","0.42185366","17472.189","7334.6699","6202627.587","Oz","CARLINGS  ","1","0","","","","",""
"123","7272001435","CARLINGS BLK LABEL R","0.37261227","1295.5692","475.03","459927.0703","Oz","CARLINGS  ","1","0","","","","",""
"124","7336039751","CARLINGS BLK LABEL R","0.4318102","773.74274","334.10999","274678.667","Oz","CARLINGS  ","1","0","","","","",""
"125","7336088301","CARLINGS BLK LABEL L","0.37470788","47.984043","17.98","17034.33594","Oz","CARLINGS  ","1","0","","","","",""
"126","7336088751","CARLINGS BLK LABEL L","0.42625278","89.970078","38.049999","31939.37988","Oz","CARLINGS  ","1","0","","","","",""
"127","1820000846","CARLSBERG BEER","1.0820264","3988.6736","4315.8501","1415979.175","Oz","CARLSBERG  ","1","0","","","","",""
"128","7454900020","CARTA BLANCA BEER N.","1.0375671","41.986038","43.629997","14905.04395","Oz","CARTA BLANCA ","1","0","","","","",""
"129","8982600200","CARTA BLANCA BEER N.","1.0295397","179.94016","185.39999","63878.75977","Oz","CARTA BLANCA ","1","0","","","","",""
"130","8982660001","CARTA BLANCA N.R. BT","0.99374944","4624.4624","4472.4697","1641684.126","Oz","CARTA BLANCA ","1","0","","","","",""
"131","7199080003","CASTLEMAINE XXXX","0.99866527","509.83047","509.14999","180989.8193","Oz","CASTLEMAINE  ","1","0","","","","",""
"132","73588811206","CELIS WHITE ALE","1.18819","7317.5664","8699.9697","2597736.23","Oz","CELIS  ","0","0","","","","",""
"133","73588821206","CELIS PALE BOCK","1.1898466","1139.621","1356.6","404565.4785","Oz","CELIS  ","0","0","","","","",""
"134","73588841206","CELIS GRAND CRU ALE","1.1922992","1853.3837","2209.9099","657951.2256","Oz","CELIS  ","0","0","","","","",""
"135","73588851206","CELIS RASPBERRY","1.1954107","4990.3403","5973.6597","1771570.938","Oz","CELIS  ","0","0","","","","",""
